Filename FileLength DownloadTime Bandwidth
hdfs://localhost/uploads/test1.img 1000 0.163051495 6133.031776249583
hdfs://localhost/uploads/test2.img 10000 0.032193563 310621.10149162426
hdfs://localhost/uploads/test3.img 100000 0.014325316 6980648.803837905
hdfs://localhost/uploads/test4.img 1000000 0.008510969 1.1749543442115697E8
hdfs://localhost/uploads/test5.img 10000000 0.181013625 5.524446018911559E7
hdfs://localhost/uploads/test6.img 100000000 2.21467671 4.515331720809039E7
hdfs://localhost/uploads/test7.img 1000000000 36.322654902 2.75310271977101E7
hdfs://localhost/uploads/test8.img 2147479552 52.683881797 4.0761604474677965E7

Filename FileLength UploadTime Bandwidth
upload_files/test1.img 1000 0.083991164 11906.014304076081
upload_files/test2.img 10000 0.09941974 100583.64666815664
upload_files/test3.img 100000 0.102995589 970915.3660939791
upload_files/test4.img 1000000 0.132421695 7551632.683753217
upload_files/test5.img 10000000 0.542187824 1.8443793012954123E7
upload_files/test6.img 100000000 3.933590525 2.542206652279853E7
upload_files/test7.img 1000000000 21.416511069 4.669294624031836E7
upload_files/test8.img 2147479552 65.223679203 3.2924845366607673E7

